Fila,n,C(n)
FLC,0,0
FLEV1,0,0
FLEV2,0,0
FLEV3,0,0
FLEV4,0,0
FLC,1,1
FLEV1,1,2
FLEV2,1,3
FLEV3,1,4
FLEV4,1,5
FLC,2,1
FLEV1,2,3
FLEV2,2,3
FLEV3,2,4
FLEV4,2,8
FLC,3,1
FLEV1,3,3
FLEV2,3,3
FLEV3,3,4
FLEV4,3,8
FLC,4,1
FLEV1,4,3
FLEV2,4,3
FLEV3,4,4
FLEV4,4,8
FLC,5,1
FLEV1,5,3
FLEV2,5,3
FLEV3,5,4
FLEV4,5,8
FLC,6,1
FLEV1,6,3
FLEV2,6,3
FLEV3,6,4
FLEV4,6,8
FLC,7,1
FLEV1,7,3
FLEV2,7,3
FLEV3,7,4
FLEV4,7,8
FLC,8,1
FLEV1,8,3
FLEV2,8,3
FLEV3,8,4
FLEV4,8,8
FLC,9,1
FLEV1,9,3
FLEV2,9,3
FLEV3,9,4
FLEV4,9,8
FLC,10,1
FLEV1,10,3
FLEV2,10,3
FLEV3,10,4
FLEV4,10,8
FLC,11,1
FLEV1,11,3
FLEV2,11,3
FLEV3,11,4
FLEV4,11,8
FLC,12,1
FLEV1,12,3
FLEV2,12,3
FLEV3,12,4
FLEV4,12,8
FLC,13,1
FLEV1,13,3
FLEV2,13,3
FLEV3,13,4
FLEV4,13,8
FLC,14,1
FLEV1,14,3
FLEV2,14,3
FLEV3,14,4
FLEV4,14,8
FLC,15,1
FLEV1,15,3
FLEV2,15,3
FLEV3,15,4
FLEV4,15,8
FLC,16,1
FLEV1,16,3
FLEV2,16,3
FLEV3,16,4
FLEV4,16,8
FLC,17,1
FLEV1,17,3
FLEV2,17,3
FLEV3,17,4
FLEV4,17,8
FLC,18,1
FLEV1,18,3
FLEV2,18,3
FLEV3,18,4
FLEV4,18,8
FLC,19,1
FLEV1,19,3
FLEV2,19,3
FLEV3,19,4
FLEV4,19,8
FLC,20,1
FLEV1,20,3
FLEV2,20,3
FLEV3,20,4
FLEV4,20,8
FLC,21,1
FLEV1,21,3
FLEV2,21,3
FLEV3,21,4
FLEV4,21,8
FLC,22,1
FLEV1,22,3
FLEV2,22,3
FLEV3,22,4
FLEV4,22,8
FLC,23,1
FLEV1,23,3
FLEV2,23,3
FLEV3,23,4
FLEV4,23,8
FLC,24,1
FLEV1,24,3
FLEV2,24,3
FLEV3,24,4
FLEV4,24,8
FLC,25,1
FLEV1,25,3
FLEV2,25,3
FLEV3,25,4
FLEV4,25,8
FLC,26,1
FLEV1,26,3
FLEV2,26,3
FLEV3,26,4
FLEV4,26,8
FLC,27,1
FLEV1,27,3
FLEV2,27,3
FLEV3,27,4
FLEV4,27,8
FLC,28,1
FLEV1,28,3
FLEV2,28,3
FLEV3,28,4
FLEV4,28,8
FLC,29,1
FLEV1,29,3
FLEV2,29,3
FLEV3,29,4
FLEV4,29,8
FLC,30,1
FLEV1,30,3
FLEV2,30,3
FLEV3,30,4
FLEV4,30,8
FLC,31,1
FLEV1,31,3
FLEV2,31,3
FLEV3,31,4
FLEV4,31,8
FLC,32,1
FLEV1,32,3
FLEV2,32,3
FLEV3,32,4
FLEV4,32,8
FLC,33,1
FLEV1,33,3
FLEV2,33,3
FLEV3,33,4
FLEV4,33,8
FLC,34,1
FLEV1,34,3
FLEV2,34,3
FLEV3,34,4
FLEV4,34,8
FLC,35,1
FLEV1,35,3
FLEV2,35,3
FLEV3,35,4
FLEV4,35,8
FLC,36,1
FLEV1,36,3
FLEV2,36,3
FLEV3,36,4
FLEV4,36,8
FLC,37,1
FLEV1,37,3
FLEV2,37,3
FLEV3,37,4
FLEV4,37,8
FLC,38,1
FLEV1,38,3
FLEV2,38,3
FLEV3,38,4
FLEV4,38,8
FLC,39,1
FLEV1,39,3
FLEV2,39,3
FLEV3,39,4
FLEV4,39,8
FLC,40,1
FLEV1,40,3
FLEV2,40,3
FLEV3,40,4
FLEV4,40,8
FLC,41,1
FLEV1,41,3
FLEV2,41,3
FLEV3,41,4
FLEV4,41,8
FLC,42,1
FLEV1,42,3
FLEV2,42,3
FLEV3,42,4
FLEV4,42,8
FLC,43,1
FLEV1,43,3
FLEV2,43,3
FLEV3,43,4
FLEV4,43,8
FLC,44,1
FLEV1,44,3
FLEV2,44,3
FLEV3,44,4
FLEV4,44,8
FLC,45,1
FLEV1,45,3
FLEV2,45,3
FLEV3,45,4
FLEV4,45,8
FLC,46,1
FLEV1,46,3
FLEV2,46,3
FLEV3,46,4
FLEV4,46,8
FLC,47,1
FLEV1,47,3
FLEV2,47,3
FLEV3,47,4
FLEV4,47,8
FLC,48,1
FLEV1,48,3
FLEV2,48,3
FLEV3,48,4
FLEV4,48,8
FLC,49,1
FLEV1,49,3
