Fila,n,C(n)
FLC,0,0
FLEV1,0,0
FLEV2,0,0
FLEV3,0,0
FLEV4,0,0
FLC,1,1
FLEV1,1,2
FLEV2,1,3
FLEV3,1,4
FLEV4,1,5
FLC,2,2
FLEV1,2,5
FLEV2,2,6
FLEV3,2,8
FLEV4,2,13
FLC,3,3
FLEV1,3,8
FLEV2,3,9
FLEV3,3,12
FLEV4,3,21
FLC,4,4
FLEV1,4,11
FLEV2,4,12
FLEV3,4,16
FLEV4,4,29
FLC,5,5
FLEV1,5,14
FLEV2,5,15
FLEV3,5,20
FLEV4,5,37
FLC,6,6
FLEV1,6,17
FLEV2,6,18
FLEV3,6,24
FLEV4,6,45
FLC,7,7
FLEV1,7,20
FLEV2,7,21
FLEV3,7,28
FLEV4,7,53
FLC,8,8
FLEV1,8,23
FLEV2,8,24
FLEV3,8,32
FLEV4,8,61
FLC,9,9
FLEV1,9,26
FLEV2,9,27
FLEV3,9,36
FLEV4,9,69
FLC,10,10
FLEV1,10,29
FLEV2,10,30
FLEV3,10,40
FLEV4,10,77
FLC,11,11
FLEV1,11,32
FLEV2,11,33
FLEV3,11,44
FLEV4,11,85
FLC,12,12
FLEV1,12,35
FLEV2,12,36
FLEV3,12,48
FLEV4,12,93
FLC,13,13
FLEV1,13,38
FLEV2,13,39
FLEV3,13,52
FLEV4,13,101
FLC,14,14
FLEV1,14,41
FLEV2,14,42
FLEV3,14,56
FLEV4,14,109
FLC,15,15
FLEV1,15,44
FLEV2,15,45
FLEV3,15,60
FLEV4,15,117
FLC,16,16
FLEV1,16,47
FLEV2,16,48
FLEV3,16,64
FLEV4,16,125
FLC,17,17
FLEV1,17,50
FLEV2,17,51
FLEV3,17,68
FLEV4,17,133
FLC,18,18
FLEV1,18,53
FLEV2,18,54
FLEV3,18,72
FLEV4,18,141
FLC,19,19
FLEV1,19,56
FLEV2,19,57
FLEV3,19,76
FLEV4,19,149
FLC,20,20
FLEV1,20,59
FLEV2,20,60
FLEV3,20,80
FLEV4,20,157
FLC,21,21
FLEV1,21,62
FLEV2,21,63
FLEV3,21,84
FLEV4,21,165
FLC,22,22
FLEV1,22,65
FLEV2,22,66
FLEV3,22,88
FLEV4,22,173
FLC,23,23
FLEV1,23,68
FLEV2,23,69
FLEV3,23,92
FLEV4,23,181
FLC,24,24
FLEV1,24,71
FLEV2,24,72
FLEV3,24,96
FLEV4,24,189
FLC,25,25
FLEV1,25,74
FLEV2,25,75
FLEV3,25,100
FLEV4,25,197
FLC,26,26
FLEV1,26,77
FLEV2,26,78
FLEV3,26,104
FLEV4,26,205
FLC,27,27
FLEV1,27,80
FLEV2,27,81
FLEV3,27,108
FLEV4,27,213
FLC,28,28
FLEV1,28,83
FLEV2,28,84
FLEV3,28,112
FLEV4,28,221
FLC,29,29
FLEV1,29,86
FLEV2,29,87
FLEV3,29,116
FLEV4,29,229
FLC,30,30
FLEV1,30,89
FLEV2,30,90
FLEV3,30,120
FLEV4,30,237
FLC,31,31
FLEV1,31,92
FLEV2,31,93
FLEV3,31,124
FLEV4,31,245
FLC,32,32
FLEV1,32,95
FLEV2,32,96
FLEV3,32,128
FLEV4,32,253
FLC,33,33
FLEV1,33,98
FLEV2,33,99
FLEV3,33,132
FLEV4,33,261
FLC,34,34
FLEV1,34,101
FLEV2,34,102
FLEV3,34,136
FLEV4,34,269
FLC,35,35
FLEV1,35,104
FLEV2,35,105
FLEV3,35,140
FLEV4,35,277
FLC,36,36
FLEV1,36,107
FLEV2,36,108
FLEV3,36,144
FLEV4,36,285
FLC,37,37
FLEV1,37,110
FLEV2,37,111
FLEV3,37,148
FLEV4,37,293
FLC,38,38
FLEV1,38,113
FLEV2,38,114
FLEV3,38,152
FLEV4,38,301
FLC,39,39
FLEV1,39,116
FLEV2,39,117
FLEV3,39,156
FLEV4,39,309
FLC,40,40
FLEV1,40,119
FLEV2,40,120
FLEV3,40,160
FLEV4,40,317
FLC,41,41
FLEV1,41,122
FLEV2,41,123
FLEV3,41,164
FLEV4,41,325
FLC,42,42
FLEV1,42,125
FLEV2,42,126
FLEV3,42,168
FLEV4,42,333
FLC,43,43
FLEV1,43,128
FLEV2,43,129
FLEV3,43,172
FLEV4,43,341
FLC,44,44
FLEV1,44,131
FLEV2,44,132
FLEV3,44,176
FLEV4,44,349
FLC,45,45
FLEV1,45,134
FLEV2,45,135
FLEV3,45,180
FLEV4,45,357
FLC,46,46
FLEV1,46,137
FLEV2,46,138
FLEV3,46,184
FLEV4,46,365
FLC,47,47
FLEV1,47,140
FLEV2,47,141
FLEV3,47,188
FLEV4,47,373
FLC,48,48
FLEV1,48,143
FLEV2,48,144
FLEV3,48,192
FLEV4,48,381
FLC,49,49
FLEV1,49,146
